NO,DN,BEGIN_TIME,END_TIME,R001_001,R001_002,R001_003,R001_004,R001_005,R001_006,R001_007,R001_008,R001_009,R001_010,R001_011,R001_012,R001_014,R001_016,R001_018,R001_020,R001_022,R001_013,R001_015,R001_017,R001_019,R001_021,RATE
231085,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 9:00,2018/7/1 9:15,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,99.0,104.0,0.0,0.0,87.0,110.0,104.0,96.35
237661,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 9:15,2018/7/1 9:30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,87.0,104.0,0.0,0.0,98.0,90.0,104.0,98.97
244234,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 9:30,2018/7/1 9:45,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,65.0,113.0,0.0,0.0,96.0,71.0,113.0,97.86
250797,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 9:45,2018/7/1 10:00,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,57.0,85.0,0.0,0.0,91.0,66.0,85.0,96.28
257380,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 10:00,2018/7/1 10:15,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,114.0,95.0,0.0,0.0,155.0,121.0,95.0,98.11
263958,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 10:15,2018/7/1 10:30,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,91.0,111.0,0.0,0.0,134.0,99.0,111.0,97.67
270533,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 10:30,2018/7/1 10:45,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,103.0,110.0,0.0,0.0,131.0,105.0,110.0,99.42
277112,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 10:45,2018/7/1 11:00,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,116.0,123.0,0.0,0.0,134.0,133.0,123.0,95.64
283692,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 11:00,2018/7/1 11:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,95.0,118.0,0.0,0.0,140.0,95.0,118.0,100.0
290271,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 11:15,2018/7/1 11:30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,154.0,106.0,120.0,0.0,1.0,154.0,107.0,120.0,99.74
296847,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 11:30,2018/7/1 11:45,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,94.0,125.0,0.0,0.0,143.0,97.0,126.0,98.91
303421,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 11:45,2018/7/1 12:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,99.0,121.0,0.0,0.0,137.0,101.0,121.0,99.16
309998,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 12:00,2018/7/1 12:15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,76.0,120.0,0.0,0.0,142.0,78.0,120.0,99.41
316575,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 12:15,2018/7/1 12:30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,86.0,153.0,0.0,0.0,124.0,87.0,153.0,99.73
323159,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 12:30,2018/7/1 12:45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,66.0,136.0,0.0,0.0,139.0,67.0,136.0,99.71
329739,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 12:45,2018/7/1 13:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,112.0,139.0,0.0,0.0,143.0,113.0,139.0,99.75
336322,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 13:00,2018/7/1 13:15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,95.0,130.0,0.0,0.0,149.0,97.0,132.0,98.94
342898,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 13:15,2018/7/1 13:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,98.0,139.0,0.0,0.0,182.0,98.0,139.0,100.0
349476,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 13:30,2018/7/1 13:45,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,67.0,131.0,0.0,0.0,160.0,67.0,131.0,99.44
356054,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 13:45,2018/7/1 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,86.0,146.0,0.0,0.0,165.0,86.0,146.0,100.0
362631,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 14:00,2018/7/1 14:15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,82.0,130.0,0.0,0.0,118.0,82.0,133.0,99.1
